rank,name,code,price,24_H_change,24H_volume,market_cap
888,BitZ Token,BZ,$0.1601,+0.03%,N/A,$16.49 M
598,LATOKEN,LA,$0.1048,-8.06%,"$92,627.49",$39.83 M
746,PAID Network,PAID,$0.2842,-5.07%,"$662,486.06",$23.61 M
841,HyperCash,HC,$0.3515,-1.06%,"$976,559.91",$15.84 M
504,SuperRare,RARE,$0.5761,-10.68%,$16.42 M,$58.62 M
454,AllianceBlock,ALBT,$0.3097,-3.27%,"$719,942.25",$72.14 M
404,Bloomzed Loyalty Club Ticket,BLCT,$2.34,-0.09%,"$95,971.50",$88.97 M
8,Solana,SOL,$92.07,-6.55%,$1.90 B,$29.05 B
356,Proton,XPR,$0.01213,-4.38%,$5.13 M,$114.53 M
58,Stacks,STX,$1.36,-7.10%,$33.18 M,$1.75 B
157,DigiByte,DGB,$0.02172,-6.06%,$25.85 M,$326.59 M
306,Hxro,HXRO,$0.3738,+0.12%,$1.04 M,$153.01 M
257,Pundi X (New),PUNDIX,$0.7554,-3.99%,$32.25 M,$195.27 M
207,Wrapped BNB,WBNB,$396.73,-3.80%,$746.76 M,$1.95 B
110,Zilliqa,ZIL,$0.04637,-5.79%,$43.84 M,$568.74 M
698,Dego Finance,DEGO,$3.17,-4.68%,$13.61 M,$27.27 M
794,88mph,MPH,$42.91,+0.00%,"$669,779.46",$19.23 M
550,Venus XVS,vXVS,$0.2141,-14.02%,N/A,$48.06 M
649,SingularityDAO,SDAO,$0.8488,-4.21%,$1.23 M,$32.73 M
888,MILC Platform,MLT,$0.1709,-5.26%,"$810,133.69",$13.50 M
599,CONUN,CON,$0.01372,-9.45%,$12.39 M,$39.75 M
747,Xeno Token,XNO,$0.06298,-5.46%,$37.16 M,$23.44 M
842,Internxt,INXT,$14.13,-2.18%,"$411,688.80",$15.81 M
505,PlatonCoin,PLTC,$0.7928,-0.14%,N/A,$79.76 M
455,Travala.com,AVA,$1.42,-7.22%,$8.35 M,$71.51 M
405,Everipedia,IQ,$0.008875,-4.75%,$3.72 M,$88.28 M
9,Avalanche,AVAX,$85.21,-6.31%,$1.48 B,$20.63 B
357,FUNToken,FUN,$0.01041,+2.81%,$16.19 M,$114.43 M
59,Bitcoin SV,BSV,$87.20,-4.16%,$99.76 M,$1.66 B
158,Ren,REN,$0.3223,-7.91%,$26.92 M,$318.46 M
307,NKN,NKN,$0.2211,-6.27%,$5.82 M,$152.98 M
258,Ardor,ARDR,$0.195,-4.34%,$5.79 M,$194.54 M
208,Huobi BTC,HBTC,"$40,193.45",-4.14%,$2.96 M,$1.60 B
111,SwissBorg,CHSB,$0.5583,-1.37%,$1.71 M,$558.31 M
699,Ternoa,CAPS,$0.05523,-6.54%,"$568,734.18",$27.18 M
795,Vertcoin,VTC,$0.3028,-3.35%,"$63,769.55",$19.23 M
551,Tellor,TRB,$20.85,-8.46%,$13.56 M,$47.85 M
650,BTU Protocol,BTU,$0.3587,-9.62%,"$15,541.09",$32.46 M
889,EpiK Protocol,EPK,$0.1037,-5.56%,$3.14 M,$13.49 M
600,RAI Finance,SOFI,$0.2245,+0.62%,$1.39 M,$39.61 M
748,Dragonchain,DRGN,$0.06297,-10.30%,"$163,841.64",$23.35 M
843,saffron.finance,SFI,$172.17,-4.24%,"$166,752.50",$15.80 M
505,Darma Cash,DMCH,$0.2681,-0.00%,"$52,486.82",$58.09 M
456,TrustSwap,SWAP,$0.7282,-6.74%,$1.12 M,$71.04 M
406,Aleph.im,ALEPH,$0.4465,-9.25%,$15.88 M,$86.61 M
10,Terra,LUNA,$50.65,-7.29%,$1.45 B,$19.69 B
358,Utrust,UTK,$0.248,-10.71%,$16.00 M,$114.06 M
60,KuCoin Token,KCS,$19.33,-4.66%,$16.22 M,$1.55 B
159,Ethereum Name Service,ENS,$16.06,-6.90%,$70.11 M,$318.17 M
308,USDX [Kava],USDX,$0.9729,-0.86%,"$294,769.72",$150.18 M
259,MVL,MVL,$0.00852,-3.67%,$1.92 M,$193.55 M
209,yOUcash,YOUC,$0.161,-0.74%,"$233,146.75",$1.26 B
112,Revain,REV,$0.006491,-5.56%,$2.02 M,$552.12 M
700,Unisocks,SOCKS,"$89,748.95",-6.90%,"$5,593.41",$27.10 M
796,e-Money,NGM,$0.9631,-4.72%,$1.03 M,$19.03 M
552,Morpheus.Network,MNW,$1.01,-8.34%,"$643,353.27",$47.68 M
651,SpiritSwap,SPIRIT,$0.1044,-4.92%,"$821,339.81",$32.38 M
890,Sin City Metaverse,SIN,$0.1266,+4.69%,$1.06 M,$13.48 M
601,YIELD App,YLD,$0.2713,-2.52%,"$730,936.64",$39.55 M
749,King DAG,KDAG,$0.4281,-2.02%,$6.90 M,$23.31 M
844,Doge Dash,DOGEDASH,$0.0002914,-4.36%,"$190,356.32",$15.75 M
506,TROY,TROY,$0.006518,-5.99%,$5.00 M,$58.05 M
457,Shapeshift FOX Token,FOX,$0.3073,-3.68%,"$935,798.01",$71.01 M
407,bZx Protocol,BZRX,$0.2124,-1.76%,$1.23 M,$85.66 M
11,Dogecoin,DOGE,$0.1402,-4.50%,$734.71 M,$18.37 B
359,Alien Worlds,TLM,$0.1216,-7.32%,$102.15 M,$111.30 M
61,Huobi Token,HT,$9.66,-2.77%,$40.37 M,$1.51 B
160,DigitalBits,XDB,$0.3557,-1.47%,"$956,264.00",$311.14 M
309,DAO Maker,DAO,$2.14,-6.08%,$3.25 M,$149.90 M
260,Status,SNT,$0.0551,-4.06%,$7.92 M,$191.23 M
210,DeFiChain,DFI,$3.53,-1.54%,$3.36 M,$1.06 B
113,APENFT,NFT,$0.000001983,-1.17%,$113.38 M,$549.40 M
701,S.S. Lazio Fan Token,LAZIO,$3.14,-9.19%,$8.19 M,$27.00 M
797,Ethereum Push Notification Service,PUSH,$1.23,-5.48%,$1.37 M,$18.87 M
553,Aion,AION,$0.09484,-7.65%,$5.69 M,$47.56 M
652,TerraKRW,KRT,$0.0008373,-1.06%,"$96,646.80",$32.34 M
891,UniCrypt,UNCX,$490.96,+3.75%,$1.88 M,$13.41 M
602,Revolution Populi,RVP,$0.03289,-0.84%,"$29,112.83",$39.46 M
750,LikeCoin,LIKE,$0.02135,-3.69%,"$83,841.47",$23.13 M
845,Ondori,RSTR,$0.0004353,+0.00%,N/A,$16.44 M
507,Venus BUSD,vBUSD,$0.02138,-0.11%,N/A,$57.62 M
458,Ampleforth Governance Token,FORTH,$6.82,-3.34%,$11.50 M,$70.93 M
408,Toko Token,TKO,$0.7839,+3.02%,$46.00 M,$85.05 M
12,Binance USD,BUSD,$0.9995,+0.02%,$4.66 B,$18.18 B
360,ABBC Coin,ABBC,$0.1148,-1.33%,$33.58 M,$111.21 M
62,Zcash,ZEC,$109.39,-8.05%,$235.70 M,$1.51 B
161,Casper,CSPR,$0.08357,-6.67%,$9.41 M,$310.14 M
310,Hathor,HTR,$0.6601,-12.94%,$11.96 M,$149.78 M
261,HedgeTrade,HEDG,$0.547,+0.87%,"$80,843.89",$190.75 M
211,Counos X,CCXX,$57.22,-0.00%,"$291,694.81",$1.02 B
114,Bitcoin Gold,BTG,$30.80,-4.50%,$10.90 M,$539.41 M
702,DeXe,DEXE,$7.65,-2.58%,$16.45 M,$26.95 M
798,BitKan,KAN,$0.001969,-2.05%,"$92,102.15",$18.77 M
554,Paris Saint-Germain Fan Token,PSG,$15.48,-4.40%,$20.94 M,$47.55 M
653,SORA,XOR,$78.79,-4.59%,$1.66 M,$32.17 M
892,Xaya,CHI,$0.2768,-5.02%,"$21,319.25",$13.41 M
603,Selfkey,KEY,$0.00769,-4.72%,$14.14 M,$39.22 M
751,Everest,ID,$0.1982,-11.17%,"$100,917.77",$23.13 M
845,CoinPoker,CHP,$0.05707,+27.24%,"$712,339.53",$15.68 M
508,Highstreet,HIGH,$4.63,-9.77%,$11.07 M,$56.92 M
459,ICHI,ICHI,$16.80,-1.35%,"$385,117.41",$70.82 M
409,Sovryn,SOV,$4.03,-8.10%,$1.64 M,$84.71 M
13,Polkadot,DOT,$18.11,-3.72%,$1.09 B,$17.70 B
361,SingularityNET,AGIX,$0.1132,-5.56%,$4.81 M,$110.62 M
63,eCash,XEC,$0.00007857,-4.33%,$33.81 M,$1.49 B
162,Braintrust,BTRST,$3.51,-3.82%,$2.60 M,$308.42 M
311,iExec RLC,RLC,$1.86,-9.02%,$13.86 M,$147.17 M
262,Starlink,STARL,$0.00001881,-7.83%,$8.94 M,$187.68 M
212,ECOMI,OMI,$0.005829,-3.13%,$3.64 M,$969.28 M
115,Livepeer,LPT,$25.60,-6.36%,$17.42 M,$533.26 M
703,GoChain,GO,$0.02367,-5.34%,"$322,763.19",$26.89 M
799,GamerCoin,GHX,$0.04595,-8.92%,"$334,047.81",$18.75 M
555,League of Kingdoms Arena,LOKA,$1.89,-7.68%,$28.92 M,$47.50 M
654,Venus USDT,vUSDT,$0.02158,+0.00%,N/A,$32.07 M
893,Santiment Network Token,SAN,$0.2118,-4.83%,"$5,035.74",$13.41 M
604,Wirex Token,WXT,$0.003919,-3.04%,"$492,544.20",$39.19 M
752,Genopets,GENE,$6.60,-5.45%,$1.15 M,$23.06 M
846,BIDR,BIDR,$0.00006945,-0.22%,$60.09 M,$15.68 M
509,Kava Swap,SWP,$1.68,-3.29%,$1.31 M,$56.88 M
460,AIOZ Network,AIOZ,$0.1771,-2.33%,"$532,422.41",$70.77 M
410,cVault.finance,CORE,"$8,463.06",-10.62%,"$210,027.03",$84.63 M
14,Shiba Inu,SHIB,$0.00002894,-5.96%,$1.77 B,$15.58 B
362,Crabada,CRA,$1.32,-17.47%,$5.24 M,$108.67 M
64,Enjin Coin,ENJ,$1.71,-7.48%,$207.58 M,$1.45 B
163,Celer Network,CELR,$0.04701,-6.43%,$43.98 M,$301.78 M
312,ssv.network,SSV,$14.59,-7.39%,$4.40 M,$145.93 M
263,XSGD,XSGD,$0.7402,+0.02%,$1.39 M,$185.85 M
213,Sperax,SPA,$0.1863,-2.65%,$5.59 M,$930.14 M
116,Anchor Protocol,ANC,$2.05,-1.30%,$21.76 M,$522.41 M
704,REVV,REVV,$0.09655,-0.99%,$5.51 M,$26.87 M
800,ChainX,PCX,$1.52,-3.88%,"$808,688.01",$18.74 M
556,Steem Dollars,SBD,$4.48,-2.96%,$4.05 M,$47.40 M
655,v.systems,VSYS,$0.01283,-4.17%,$1.09 M,$31.94 M
894,Darwinia Network,RING,$0.02572,-4.51%,"$975,017.22",$13.32 M
605,CoinEx Token,CET,$0.05497,-7.05%,"$955,245.83",$38.95 M
753,Poseidon Network,QQQ,$0.01039,-2.84%,"$72,869.47",$22.89 M
847,Govi,GOVI,$1.42,-10.73%,"$529,944.87",$15.63 M
510,BarnBridge,BOND,$9.32,-6.99%,$9.38 M,$55.98 M
461,Aergo,AERGO,$0.195,-2.97%,$3.78 M,$70.53 M
411,Uquid Coin,UQC,$8.46,-3.88%,$6.19 M,$84.55 M
15,Polygon,MATIC,$1.64,-7.59%,$1.17 B,$12.15 B
363,PEAKDEFI,PEAK,$0.08372,-3.60%,"$371,196.90",$108.15 M
65,TrueUSD,TUSD,$1.01,-0.05%,$123.70 M,$1.42 B
164,Tribe,TRIBE,$0.6727,-2.48%,$7.48 M,$300.20 M
313,Decentral Games,DG,$0.3621,-8.06%,$7.38 M,$145.67 M
264,Bifrost (BFC),BFC,$0.1681,-4.81%,$2.31 M,$185.30 M
214,BitDAO,BIT,$1.58,-5.95%,$60.13 M,$926.48 M
117,ICON,ICX,$0.7284,-6.10%,$27.16 M,$521.82 M
705,Ariva,ARV,$0.0004245,-5.23%,$9.07 M,$26.77 M
801,MATH,MATH,$0.1629,-5.89%,"$549,024.78",$18.63 M
557,Atari Token,ATRI,$0.03199,-2.06%,"$726,760.69",$47.37 M
656,CargoX,CXO,$0.1527,-5.17%,"$11,539.40",$31.70 M
895,Decentral Games ICE,ICE,$0.1408,-10.42%,$7.33 M,$13.28 M
606,DigixDAO,DGD,$507.59,-10.11%,"$1,952.14",$38.91 M
754,DXdao,DXD,$464.03,-9.57%,"$231,931.25",$22.89 M
848,Bitball Treasure,BTRS,$34.69,+1.79%,"$225,476.65",$15.61 M
511,Cocos-BCX,COCOS,$1.33,-9.38%,$18.91 M,$55.92 M
462,Automata Network,ATA,$0.409,-8.30%,$10.85 M,$70.45 M
412,Aurory,AURY,$8.76,-4.61%,$2.76 M,$84.11 M
16,TerraUSD,UST,$1.00,+0.27%,$403.34 M,$11.94 B
364,IDEX,IDEX,$0.1707,-11.06%,$43.56 M,$107.58 M
66,Quant,QNT,$115.38,-7.44%,$50.40 M,$1.38 B
165,ConstitutionDAO,PEOPLE,$0.059,-10.20%,$149.54 M,$300.05 M
314,Keep3rV1,KP3R,$734.81,-5.76%,$27.00 M,$145.07 M
265,Victoria VR,VR,$0.2589,-4.87%,$6.00 M,$183.84 M
215,Chainbing,CBG,$24.79,-22.65%,$13.18 M,$818.15 M
118,GateToken,GT,$6.60,-0.89%,$4.58 M,$516.45 M
706,Sentivate,SNTVT,$0.007441,-11.11%,"$173,662.94",$26.67 M
802,HAPI Protocol,HAPI,$27.77,-4.10%,$3.98 M,$18.62 M
558,Akropolis,AKRO,$0.01267,-7.79%,$11.77 M,$47.22 M
657,Namecoin,NMC,$2.14,-0.39%,"$25,294.24",$31.60 M
896,smARTOFGIVING,AOG,$0.1795,+15.14%,"$14,890.06",$13.24 M
607,Lido DAO Token,LDO,$1.58,-7.07%,$3.20 M,$38.74 M
755,Dora Factory,DORA,$5.76,-7.18%,$6.29 M,$22.77 M
849,Etherisc DIP Token,DIP,$0.07858,-8.46%,"$25,649.64",$15.59 M
512,Kleros,PNK,$0.08909,-6.09%,$2.98 M,$55.35 M
463,Samoyedcoin,SAMO,$0.02161,-6.01%,$5.28 M,$70.43 M
413,DeRace,DERC,$1.92,-5.81%,$3.27 M,$84.06 M
17,Cronos,CRO,$0.4425,-2.69%,$195.95 M,$11.12 B
365,TrueFi,TRU,$0.1972,-8.45%,$8.53 M,$107.27 M
67,Convex Finance,CVX,$26.85,-5.54%,$13.15 M,$1.36 B
166,Vulcan Forged PYR,PYR,$12.48,-8.59%,$52.54 M,$296.00 M
315,Dero,DERO,$12.91,-5.48%,$2.37 M,$144.59 M
266,Trust Wallet Token,TWT,$0.5243,-5.09%,$9.17 M,$181.92 M
216,SafeMoon,SAFEMOON,$0.000001349,-3.78%,"$118,080.53",$789.89 M
119,0x,ZRX,$0.6059,-5.73%,$48.49 M,$507.33 M
707,Stratos,STOS,$1.32,-3.19%,"$744,014.69",$26.64 M
803,Lattice Token,LTX,$0.6495,-9.21%,"$621,596.78",$18.61 M
559,Sentinel,DVPN,$0.00691,-7.63%,$1.84 M,$47.20 M
658,EPIK Prime,EPIK,$0.1343,-11.80%,$1.47 M,$31.48 M
897,PolkaBridge,PBR,$0.2951,-4.87%,$2.48 M,$13.24 M
608,MANTRA DAO,OM,$0.09025,-9.70%,$8.28 M,$38.69 M
756,VIDT Datalink,VIDT,$0.4601,-8.25%,$5.38 M,$22.74 M
850,UniLend,UFT,$0.5006,+1.04%,$2.82 M,$15.54 M
513,Grid+,GRID,$1.41,-5.51%,"$1,084.81",$55.30 M
464,Cratos,CRTS,$0.003864,-3.51%,$18.62 M,$70.29 M
414,Flamingo,FLM,$0.2683,+4.82%,$26.46 M,$83.78 M
18,Wrapped Bitcoin,WBTC,"$40,524.72",-4.28%,$211.87 M,$10.54 B
366,Chrono.tech,TIME,$150.80,-6.52%,"$618,961.23",$107.09 M
68,THORChain,RUNE,$4.48,-8.14%,$50.24 M,$1.33 B
167,PlayDapp,PLA,$0.9859,-6.88%,$26.48 M,$294.11 M
316,DEAPcoin,DEP,$0.03438,-2.84%,$5.46 M,$142.49 M
267,Energy Web Token,EWT,$6.01,+0.03%,$1.26 M,$180.74 M
217,LINK,LN,$129.18,-1.89%,$1.45 M,$771.93 M
120,Synthetix,SNX,$4.46,-8.63%,$43.84 M,$506.18 M
708,ZEON,ZEON,$0.0008677,+3.85%,"$854,021.66",$26.49 M
804,Pluton,PLU,$10.03,+20.58%,$4.75 M,$18.58 M
560,PARSIQ,PRQ,$0.3244,-8.71%,$1.15 M,$47.19 M
659,GNY,GNY,$0.163,-4.39%,"$26,908.21",$31.36 M
898,Valor Token,VALOR,$0.6604,-4.48%,$1.31 M,$13.23 M
609,ScPrime,SCP,$0.9423,-6.09%,"$41,916.08",$38.53 M
757,Oxygen,OXY,$0.5096,-6.71%,"$780,648.82",$22.58 M
851,Emirex Token,EMRX,$0.573,-4.58%,"$316,116.42",$15.50 M
514,Retreeb,TREEB,$0.3587,+7.51%,$5.97 M,$55.23 M
465,Elitium,EUM,$2.51,-3.41%,"$819,802.74",$70.08 M
415,IRISnet,IRIS,$0.06934,-10.41%,$5.42 M,$83.55 M
19,Dai,DAI,$1.01,+0.03%,$346.08 M,$10.20 B
367,TitanSwap,TITAN,$2.00,+56.04%,"$253,909.55",$106.59 M
69,Kusama,KSM,$153.26,-7.32%,$57.93 M,$1.28 B
168,WINkLink,WIN,$0.0003025,-4.23%,$117.80 M,$290.96 M
317,Radicle,RAD,$5.56,-4.46%,$5.93 M,$142.32 M
268,Civic,CVC,$0.2681,-6.86%,$17.22 M,$179.63 M
218,Liquity USD,LUSD,$1.01,+0.61%,$22.42 M,$725.47 M
121,Kava,KAVA,$3.32,-10.99%,$55.57 M,$503.99 M
709,The Midas Touch Gold,TMTG,$0.002971,+4.48%,"$881,561.05",$26.48 M
805,BLOCKv,VEE,$0.005332,-3.81%,"$17,259.38",$18.51 M
561,Groestlcoin,GRS,$0.5898,-4.05%,$2.72 M,$46.87 M
660,NEST Protocol,NEST,$0.01561,-7.63%,$3.10 M,$31.31 M
899,Decimated,DIO,$0.2798,-4.00%,"$239,906.16",$13.22 M
610,TABOO TOKEN,TABOO,$0.003892,-1.82%,$1.11 M,$38.08 M
758,Carbon,SWTH,$0.01362,+0.85%,"$67,585.29",$22.51 M
852,Polychain Monsters,PMON,$4.53,-6.99%,$1.14 M,$15.44 M
515,Vai,VAI,$0.9027,+0.38%,"$224,241.24",$54.47 M
466,Alpha Quark Token,AQT,$2.68,-6.96%,$7.80 M,$69.69 M
416,Elastos,ELA,$4.10,-6.27%,"$489,921.16",$83.43 M
20,Litecoin,LTC,$117.32,-5.46%,$1.35 B,$8.11 B
368,Maple,MPL,$23.98,-2.86%,$6.19 M,$105.30 M
70,Curve DAO Token,CRV,$2.87,-8.26%,$285.34 M,$1.27 B
169,Coin98,C98,$1.59,-8.55%,$45.34 M,$290.84 M
318,CENNZnet,CENNZ,$0.1182,+2.46%,$1.20 M,$141.79 M
269,aelf,ELF,$0.3334,-3.99%,$12.65 M,$178.99 M
219,Venus BNB,vBNB,$8.56,-3.84%,N/A,$722.20 M
122,Ontology,ONT,$0.5747,+0.52%,$119.67 M,$495.78 M
710,POA Network,POA,$0.08974,+3.48%,$12.68,$26.47 M
806,0Chain,ZCN,$0.3806,+1.84%,"$269,617.43",$18.42 M
562,Refereum,RFR,$0.009359,-4.87%,$1.30 M,$46.79 M
661,MAPS,MAPS,$0.7334,-4.68%,$2.63 M,$31.22 M
900,Nebulas,NAS,$0.2159,-3.58%,$2.34 M,$13.20 M
612,Gods Unchained,GODS,$1.61,-9.22%,$9.13 M,$37.66 M
759,Hamster,HAM,$0.000000009361,-12.86%,"$563,065.63",$22.32 M
853,O3 Swap,O3,$0.3638,-6.18%,$2.75 M,$15.43 M
516,DODO,DODO,$0.4921,-3.43%,$37.78 M,$54.41 M
467,DIA,DIA,$1.17,-5.24%,$245.91 M,$69.65 M
417,Swarm,BZZ,$1.67,+0.18%,$1.89 M,$83.42 M
21,Cosmos,ATOM,$27.63,-7.69%,$1.09 B,$7.82 B
369,Circuits of Value,COVAL,$0.05813,-4.59%,$1.01 M,$103.87 M
71,Amp,AMP,$0.02989,-3.90%,$13.90 M,$1.24 B
170,Gemini Dollar,GUSD,$0.9959,-0.06%,$4.06 M,$289.36 M
319,Polkastarter,POLS,$1.61,-7.44%,$10.20 M,$141.06 M
270,Numeraire,NMR,$30.30,+8.53%,$63.86 M,$177.24 M
220,The Transfer Token,TTT,$6.72,-3.94%,"$570,184.44",$704.33 M
123,SushiSwap,SUSHI,$3.94,-6.20%,$145.33 M,$494.40 M
711,VITE,VITE,$0.05265,-7.75%,$5.55 M,$26.37 M
807,Lotto,LOTTO,$0.009205,-0.41%,"$3,457.68",$18.41 M
563,Marinade Staked SOL,MSOL,$93.92,-6.28%,$20.59 M,$46.77 M
662,Permission Coin,ASK,$0.001962,-7.64%,"$537,557.93",$31.10 M
901,Tarot,TAROT,$0.5322,-10.77%,$1.68 M,$13.20 M
613,Bitrue Coin,BTR,$0.2856,-2.86%,$9.90 M,$37.53 M
760,Bankera,BNK,$0.0008955,+37.11%,$246.49,$22.30 M
854,K21,K21,$1.05,-8.94%,"$149,012.40",$15.23 M
517,Cobak Token,CBK,$2.23,-5.22%,$2.19 M,$54.28 M
468,Adshares,ADS,$3.07,-3.57%,$4.17 M,$69.54 M
418,Rai Reflex Index,RAI,$3.01,+0.05%,$1.06 M,$83.32 M
22,Chainlink,LINK,$15.49,-5.04%,$729.84 M,$7.16 B
370,XCAD Network,XCAD,$4.27,-7.47%,$3.03 M,$103.72 M
72,OKB,OKB,$19.83,-3.44%,$92.90 M,$1.19 B
171,Serum,SRM,$2.19,-5.93%,$66.11 M,$286.98 M
320,StormX,STMX,$0.01392,-6.50%,$9.55 M,$139.21 M
271,Verge,XVG,$0.01066,-4.90%,$4.74 M,$175.79 M
221,WEMIX,WEMIX,$5.61,-3.76%,$94.38 M,$691.32 M
124,Siacoin,SC,$0.009786,-5.89%,$18.26 M,$484.14 M
